Tên,Cấp,Quận Huyện,Tỉnh / Thành Phố
Phường Phúc Xá,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Trúc Bạch,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Vĩnh Phúc,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Cống Vị,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Liễu Giai,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Nguyễn Trung Trực,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Quán Thánh,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Ngọc Hà,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Điện Biên,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Đội Cấn,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Ngọc Khánh,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Kim Mã,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Giảng Võ,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Thành Công,Phường,Quận Ba Đình,Thành phố Hà Nội
Phường Phúc Tân,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Đồng Xuân,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Hàng Mã,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Hàng Buồm,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Hàng Đào,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Hàng Bồ,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Cửa Đông,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Lý Thái Tổ,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Hàng Bạc,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Hàng Gai,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Chương Dương,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Hàng Trống,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Cửa Nam,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Hàng Bông,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Tràng Tiền,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Trần Hưng Đạo,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Phan Chu Trinh,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Hàng Bài,Phường,Quận Hoàn Kiếm,Thành phố Hà Nội
Phường Phú Thượng,Phường,Quận Tây Hồ,Thành phố Hà Nội
Phường Nhật Tân,Phường,Quận Tây Hồ,Thành phố Hà Nội
Phường Tứ Liên,Phường,Quận Tây Hồ,Thành phố Hà Nội
Phường Quảng An,Phường,Quận Tây Hồ,Thành phố Hà Nội
Phường Xuân La,Phường,Quận Tây Hồ,Thành phố Hà Nội
Phường Yên Phụ,Phường,Quận Tây Hồ,Thành phố Hà Nội
Phường Bưởi,Phường,Quận Tây Hồ,Thành phố Hà Nội
Phường Thụy Khuê,Phường,Quận Tây Hồ,Thành phố Hà Nội
Phường Thượng Thanh,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Ngọc Thụy,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Giang Biên,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Đức Giang,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Việt Hưng,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Gia Thụy,Phường,Quận Long Biên,Thành phố Hà Nội
