phucxa-Phúc Xá,badinh-Ba Đình,hanoi-Hà Nội,
trucbach-Trúc Bạch,badinh-Ba Đình,hanoi-Hà Nội,
vinhphuc-Vĩnh Phúc,badinh-Ba Đình,hanoi-Hà Nội,
congvi-Cống Vị,badinh-Ba Đình,hanoi-Hà Nội,
lieugiai-Liễu Giai,badinh-Ba Đình,hanoi-Hà Nội,
nguyentrungtruc-Nguyễn Trung Trực,badinh-Ba Đình,hanoi-Hà Nội,
quanthanh-Quán Thánh,badinh-Ba Đình,hanoi-Hà Nội,
ngocha-Ngọc Hà,badinh-Ba Đình,hanoi-Hà Nội,
dienbien-Điện Biên,badinh-Ba Đình,hanoi-Hà Nội,
doican-Đội Cấn,badinh-Ba Đình,hanoi-Hà Nội,
ngockhanh-Ngọc Khánh,badinh-Ba Đình,hanoi-Hà Nội,
kimma-Kim Mã,badinh-Ba Đình,hanoi-Hà Nội,
giangvo-Giảng Võ,badinh-Ba Đình,hanoi-Hà Nội,
thanhcong-Thành Công,badinh-Ba Đình,hanoi-Hà Nội,
phuctan-Phúc Tân,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
dongxuan-Đồng Xuân,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
hangma-Hàng Mã,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
hangbuom-Hàng Buồm,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
hangdao-Hàng Đào,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
hangbo-Hàng Bồ,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
cuadong-Cửa Đông,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
lythaito-Lý Thái Tổ,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
hangbac-Hàng Bạc,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
hanggai-Hàng Gai,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
chuongduong-Chương Dương,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
hangtrong-Hàng Trống,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
cuanam-Cửa Nam,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
hangbong-Hàng Bông,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
trangtien-Tràng Tiền,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
tranhungdao-Trần Hưng Đạo,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
phanchutrinh-Phan Chu Trinh,hoankiem-Hoàn Kiếm,hanoi-Hà Nội,
